sensor_type, device_type, timestamps, ssid, bssid, frequency, level, 
wlan,smartphone,1454961043718567927,awesomenet,1c:b7:2c:d9:35:24,5745.000,-89.000
wlan,smartphone,1454961043718536938,2-4_ghz_awesomenet,1c:b7:2c:d9:35:20,2437.000,-86.000
wlan,smartphone,1454961061921479558,ASUS,50:46:5d:6d:68:80,2437.000,-83.000
wlan,smartphone,1454961061921483079,Hendricks2.4,5c:8f:e0:61:eb:48,2452.000,-88.000
wlan,smartphone,1454961061921432308,023xt,d0:03:4b:d5:0f:3c,2412.000,-89.000
wlan,smartphone,1454961061921445631,,5e:8f:e0:61:eb:48,2452.000,-89.000
wlan,smartphone,1454961061921413631,HOME-2FDA-2.4,0c:54:a5:8f:91:c0,2437.000,-90.000
wlan,smartphone,1454961061921404631,,0c:54:a5:8f:91:c1,2437.000,-91.000
wlan,smartphone,1454961061921394892,JOE.KELSI,5c:8f:e0:62:03:f8,2437.000,-91.000
wlan,smartphone,1454961061921346090,xfinitywifi,22:86:8c:70:73:0a,2412.000,-87.000
wlan,smartphone,1454961061921898206,ASUS,50:46:5d:6d:68:80,2437.000,-83.000
wlan,smartphone,1454961065434935310,023xt,d0:03:4b:d5:0f:3c,2412.000,-90.000
wlan,smartphone,1454961065434920883,,c0:7c:d1:49:c8:79,2462.000,-85.000
wlan,smartphone,1454961065434881831,Dcasa,20:10:7a:c1:ea:94,2462.000,-85.000
wlan,smartphone,1454961065434794789,,5e:8f:e0:95:57:a8,2412.000,-88.000
wlan,smartphone,1454961065434816623,NETGEAR41-arlo_247000,a2:63:91:d1:11:5e,2457.000,-89.000
wlan,smartphone,1454961065435525936,Hendricks2.4,5c:8f:e0:61:eb:48,2452.000,-93.000
wlan,smartphone,1454961065435476457,023xt,d0:03:4b:d5:0f:3c,2412.000,-90.000
wlan,smartphone,1454961065435510676,,c0:7c:d1:49:c8:79,2462.000,-85.000
wlan,smartphone,1454961068903439415,Dcasa,20:10:7a:c1:ea:94,2462.000,-90.000
wlan,smartphone,1454961065435377030,,5e:8f:e0:95:57:a8,2412.000,-88.000
wlan,smartphone,1454961068903343457,NETGEAR41-arlo_247000,a2:63:91:d1:11:5e,2457.000,-92.000
wlan,smartphone,1454961068903302259,van Zandwijk,90:72:40:16:23:56,2452.000,-81.000
wlan,smartphone,1454961068903342207,NETGEAR41-5G,a0:63:91:d1:11:5b,5765.000,-90.000
wlan,smartphone,1454961068903216520,NETGEAR72,a0:63:91:46:63:37,2432.000,-87.000
wlan,smartphone,1454961068903159957,House Warwick II,20:aa:4b:61:b1:c6,2422.000,-90.000
wlan,smartphone,1454961068903210863,NETGEAR41,a0:63:91:d1:11:5c,2457.000,-93.000
wlan,smartphone,1454961068903118238,House Warwick II-guest,22:aa:4b:61:b1:c7,2422.000,-89.000
wlan,smartphone,1454961068903341760,Dcasa,20:10:7a:c1:ea:94,2462.000,-90.000
wlan,smartphone,1454961068903269031,NETGEAR41-arlo_247000,a2:63:91:d1:11:5e,2457.000,-92.000
wlan,smartphone,1454961072401149895,van Zandwijk,90:72:40:16:23:56,2452.000,-77.000
wlan,smartphone,1454961068903263927,NETGEAR41-5G,a0:63:91:d1:11:5b,5765.000,-90.000
