sensor_type, device_type, timestamps, ssid, bssid, frequency, level, 
wlan,smartphone,1454465287881319710,HOME-AEA2,00:1d:d1:82:ae:a0,2437.000,-91.000
wlan,smartphone,1454465328008690590,,92:6b:3d:8a:fa:c0,2412.000,-85.000
wlan,smartphone,1454465367985182574,xfinitywifi,96:6b:3d:8a:fa:c0,2412.000,-82.000
wlan,smartphone,1454465367985149459,CASAHAMMONS3,98:6b:3d:8a:fa:c0,2412.000,-82.000
wlan,smartphone,1454465367985152261,HOME-63EF,cc:35:40:c8:63:ef,2462.000,-86.000
wlan,smartphone,1454465367985083501,,92:6b:3d:8a:fa:c0,2412.000,-82.000
wlan,smartphone,1454465367985084168,xfinitywifi,c6:a4:62:cc:bf:10,2462.000,-85.000
wlan,smartphone,1454465388133417966,Dan & Nate's Guest Network,96:84:0d:d5:0f:88,5220.000,-78.000
wlan,smartphone,1454465388133382007,CSCMS,00:22:90:39:4e:4f,5745.000,-83.000
wlan,smartphone,1454465388133317830,Dan & Nate's Wireless Network,90:84:0d:d5:0f:88,5220.000,-79.000
wlan,smartphone,1454465388133298997,GO1927,cc:e1:7f:11:56:c5,5745.000,-85.000
wlan,smartphone,1454465388133257799,,fa:8f:ca:89:b1:80,2422.000,-84.000
wlan,smartphone,1454465388953127290,CSWLAN,00:22:90:39:4e:41,2462.000,-76.000
wlan,smartphone,1454465388953098519,Dan & Nate's Guest Network,96:84:0d:d5:0f:88,5220.000,-82.000
wlan,smartphone,1454465388953072508,provision,00:22:90:39:4e:4d,5745.000,-82.000
wlan,smartphone,1454465388953053592,CSCMS,00:22:90:39:4e:4f,5745.000,-82.000
wlan,smartphone,1454465388953020300,Dan & Nate's Wireless Network,90:84:0d:d5:0f:88,5220.000,-82.000
wlan,smartphone,1454465388953012644,GO1927,cc:e1:7f:11:56:c5,5745.000,-84.000
wlan,smartphone,1454465388133155613,,fa:8f:ca:89:b1:80,2422.000,-84.000
wlan,smartphone,1454465388953573175,CSWLAN,00:22:90:39:4e:41,2462.000,-76.000
wlan,smartphone,1454465389793627039,Dan & Nate's Guest Network,96:84:0d:d5:0f:88,5220.000,-83.000
wlan,smartphone,1454465388953527768,provision,00:22:90:39:4e:4d,5745.000,-82.000
wlan,smartphone,1454465389793580758,CSCMS,00:22:90:39:4e:4f,5745.000,-82.000
wlan,smartphone,1454465389793546373,Dan & Nate's Wireless Network,90:84:0d:d5:0f:88,5220.000,-83.000
wlan,smartphone,1454465389793530508,GO1927,cc:e1:7f:11:56:c5,5745.000,-83.000
wlan,smartphone,1454465388133602852,,fa:8f:ca:89:b1:80,2422.000,-84.000
wlan,smartphone,1454465389793475862,2WIRE930,b0:e7:54:09:46:e1,2447.000,-78.000
wlan,smartphone,1454465388953768384,CSWLAN,00:22:90:39:4e:41,2462.000,-76.000
wlan,smartphone,1454465390662116884,Dan & Nate's Guest Network,96:84:0d:d5:0f:88,5220.000,-83.000
wlan,smartphone,1454465388953722196,provision,00:22:90:39:4e:4d,5745.000,-82.000
wlan,smartphone,1454465390662070206,CSCMS,00:22:90:39:4e:4f,5745.000,-82.000
wlan,smartphone,1454465390662040029,Dan & Nate's Wireless Network,90:84:0d:d5:0f:88,5220.000,-83.000
wlan,smartphone,1454465390662027956,GO1927,cc:e1:7f:11:56:c5,5745.000,-83.000
wlan,smartphone,1454465388133789727,,fa:8f:ca:89:b1:80,2422.000,-84.000
wlan,smartphone,1454465389793661800,2WIRE930,b0:e7:54:09:46:e1,2447.000,-78.000
wlan,smartphone,1454465390661924134,,cc:e1:7f:11:56:c0,2412.000,-76.000
wlan,smartphone,1454465390661909936,wireless2,00:8e:f2:fa:16:f7,5200.000,-86.000
wlan,smartphone,1454465390661873217,sweethome,c8:b3:73:1b:5b:f4,2412.000,-88.000
wlan,smartphone,1454465390661856040,NETGEAR2.4,00:02:6f:e2:55:90,2462.000,-88.000
wlan,smartphone,1454465390661830061,xfinitywifi,c6:a4:62:cc:bf:10,2462.000,-80.000
wlan,smartphone,1454465390661797290,xfinitywifi,06:1d:d4:35:2f:10,2412.000,-93.000
